analyte,sample_number,unit_note,value
boron,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.66964
sodium,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,358.126
aluminium,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.32158
silicon,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,133.37
potassium,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,39.467
calcium,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.19699
chromium,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00549689
manganese,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0163691
nickel,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0012393
copper,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0080038
zinc,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0462224
magnesium,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.398476
arsenic,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.294666
selenium,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00733939
bromine,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.2518
strontium,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0228004
molybdenum,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00288327
barium,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.256246
lead,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000349413
hydrogen sulphide,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.6
hydrogen,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0264009
carbon monoxide,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0343857
nitrate,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.028
nitrite,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.003
ammonium,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.54
sulfate,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,319.0
chloride,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,457.0
phosphate,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.017
bicarbonate,P1.0607,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,25.0
lithium,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.95872
boron,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.85535
sodium,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,367.107
aluminium,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.10801
silicon,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,141.931
potassium,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,40.7784
calcium,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.99798
chromium,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0046859
manganese,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0131496
copper,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00680685
zinc,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.123332
magnesium,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.334476
arsenic,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.405327
bromine,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.19436
strontium,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0225743
molybdenum,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00526018
barium,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.281773
methane,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.98142
hydrogen sulphide,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.01
hydrogen,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.10659
carbon monoxide,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0160371
nitrate,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.027
nitrite,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.005
ammonium,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.507
sulfate,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,326.0
chloride,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,464.0
phosphate,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.024
bicarbonate,P1.0608,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,37.0
lithium,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.8841
boron,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.74213
sodium,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,360.427
aluminium,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.93352
silicon,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,140.174
potassium,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,41.3324
calcium,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.52458
chromium,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00282578
manganese,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0119617
copper,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00677658
zinc,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0399565
magnesium,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.29658
arsenic,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.388715
selenium,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00849542
bromine,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.17112
strontium,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0205115
molybdenum,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00725886
barium,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.214199
methane,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.21295
hydrogen sulphide,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.8
hydrogen,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0422627
nitrate,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.027
nitrite,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.003
ammonium,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.503
sulfate,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,331.0
chloride,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,462.0
phosphate,P1.0609,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.025
lithium,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.73221
boron,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.79692
sodium,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,354.85
aluminium,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.94673
silicon,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,137.123
potassium,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,40.3255
calcium,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.57341
chromium,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00394027
manganese,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0123059
nickel,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00108582
copper,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00584274
zinc,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0342193
magnesium,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.354594
arsenic,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.375399
selenium,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0033371
bromine,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.04033
strontium,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0207567
molybdenum,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00578844
barium,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.243947
methane,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.40361
hydrogen sulphide,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.79
hydrogen,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.290796
carbon monoxide,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0266863
nitrate,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.025
nitrite,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.004
ammonium,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.491
sulfate,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,326.0
chloride,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,464.0
phosphate,P1.0610,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.024
lithium,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.08632
boron,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.73421
sodium,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,267.348
aluminium,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,21.8366
silicon,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,163.534
potassium,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,29.5186
calcium,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.78217
vanadium,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0119577
chromium,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00692548
iron,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.52279
manganese,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0882618
nickel,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00310235
copper,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00729052
zinc,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0301003
magnesium,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.578413
arsenic,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.296326
selenium,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00577452
bromine,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.73547
strontium,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.058057
molybdenum,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00194183
barium,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.205056
uranium,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000361941
methane,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0268481
hydrogen sulphide,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.75
nitrate,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.025
nitrite,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.004
ammonium,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.221
sulfate,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,779.0
chloride,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,349.0
phosphate,P1.0611,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.01
lithium,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.61317
boron,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.69395
sodium,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,361.736
aluminium,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.23923
silicon,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,126.897
potassium,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,17.7865
calcium,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.70485
chromium,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0148567
manganese,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0175889
nickel,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00198985
copper,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0102892
zinc,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.020396
magnesium,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.43467
arsenic,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.354126
selenium,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00269829
bromine,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.33294
strontium,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.102942
molybdenum,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00264562
barium,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.321978
methane,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.34967
hydrogen sulphide,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.08
hydrogen,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0197392
carbon monoxide,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0237247
nitrate,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.028
nitrite,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.004
ammonium,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.149
sulfate,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,121.0
chloride,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,495.0
phosphate,P1.0612,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.029
lithium,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.51376
boron,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.51598
sodium,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,252.958
aluminium,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,21.307
silicon,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,130.207
potassium,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,19.0941
calcium,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.17566
vanadium,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00814804
chromium,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0101599
iron,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.07386
manganese,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0662096
nickel,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00453133
copper,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00985812
zinc,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0429729
magnesium,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.758117
arsenic,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.290562
selenium,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00205185
bromine,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.6569
strontium,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.13726
molybdenum,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00555261
barium,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.277315
uranium,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000450405
methane,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.09107
hydrogen sulphide,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.3
hydrogen,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0105379
carbon monoxide,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0181787
nitrate,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.028
nitrite,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.004
ammonium,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.62
sulfate,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,424.0
chloride,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,336.0
phosphate,P1.0613,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.006
lithium,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.46327
boron,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.64333
sodium,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,336.127
aluminium,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.34421
silicon,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,140.522
potassium,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,24.4687
calcium,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.17099
vanadium,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00211029
chromium,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0108529
manganese,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0361752
nickel,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0020869
copper,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.009848
zinc,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.046856
magnesium,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.552993
arsenic,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.338718
bromine,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.38038
strontium,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.108904
molybdenum,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00164913
barium,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.291756
uranium,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,9.99315e-05
methane,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.06712
hydrogen sulphide,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.01
hydrogen,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0294987
carbon monoxide,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.015298
nitrate,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.028
nitrite,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.004
ammonium,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.613
sulfate,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,166.0
chloride,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,458.0
phosphate,P1.0614,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.051
lithium,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.26358
boron,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,8.94874
sodium,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,835.972
aluminium,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.666766
silicon,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,236.044
potassium,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,118.384
calcium,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.68143
vanadium,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00946861
chromium,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0121379
manganese,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00405463
nickel,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00358209
copper,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.011735
zinc,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0272637
magnesium,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.231411
arsenic,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.731635
selenium,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00845966
bromine,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,5.21673
strontium,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0342727
molybdenum,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0275521
barium,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.147483
methane,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.1976
hydrogen sulphide,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.17
hydrogen,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0258462
carbon monoxide,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0171003
nitrate,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.026
nitrite,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.004
ammonium,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.006
sulfate,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,157.0
chloride,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1013.0
phosphate,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.03
bicarbonate,P1.0615,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,282.0
lithium,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.09309
boron,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.39477
sodium,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,418.562
aluminium,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.677458
silicon,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,165.447
potassium,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,57.9904
calcium,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.91046
vanadium,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00746175
chromium,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0100835
manganese,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00385625
nickel,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00243762
copper,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00942803
zinc,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0272615
magnesium,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.229872
arsenic,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.349216
selenium,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0109177
bromine,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2.78779
strontium,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0216313
molybdenum,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0116344
barium,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.172684
methane,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.443558
hydrogen sulphide,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.1
hydrogen,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0156982
carbon monoxide,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.03192
nitrate,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.026
nitrite,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.004
ammonium,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.238
sulfate,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,162.0
chloride,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,504.0
phosphate,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.03
bicarbonate,P1.0616,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,25.0
lithium,P1.0617,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00893815
boron,P1.0617,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0478624
sodium,P1.0617,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.74121
aluminium,P1.0617,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,40.8993
silicon,P1.0617,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,32.1555
potassium,P1.0617,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.39473
calcium,P1.0617,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,4.39069
vanadium,P1.0617,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.015719
chromium,P1.0617,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0133511
iron,P1.0617,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,8.76474
