analyte,sample_number,unit_note,value
boron,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,39.6895
sodium,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1200.13
aluminium,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.532292
silicon,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,264.647
potassium,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,260.582
calcium,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,33.159
iron,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.919083
manganese,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00549725
copper,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0248119
zinc,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0273377
magnesium,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.138144
arsenic,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,7.23606
selenium,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0206331
bromine,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,10.7588
strontium,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.187363
molybdenum,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0110217
silver,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000848996
barium,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0652665
lead,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000491264
nitrate,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.024
ammonium,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.118
sulfate,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,50.0
chloride,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2082.0
phosphate,P1.0006,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.693
lithium,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,19.4202
boron,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,41.6954
sodium,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1152.59
aluminium,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.618838
silicon,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,241.321
